491, 0.104888, 0.239296, 903, 462
15, 0.373705, 0.031574, 903, 460
20, 1.045748, 0.728055, 903, 460
30, 1.216813, 1.192375, 903, 460
54, 1.803324, 1.815543, 903, 460
90, 2.035484, 2.035484, 903, 463
486, 0.752493, 1.522287, 904, 461
488, 0.581427, 0.483675, 904, 461
492, 0.104888, 0.239296, 904, 462
13, 0.410362, 0.019355, 904, 512
20, 0.728055, 0.740274, 904, 512
23, 0.923558, 0.911339, 903, 512
53, 1.791105, 1.803324, 903, 514
88, 1.998827, 2.011046, 903, 518
573, 0.764712, 1.546725, 904, 549
575, 0.593646, 0.495894, 904, 549
578, 0.092669, 0.251515, 903, 549
14, 0.361486, 0.007136, 904, 549
20, 0.838025, 0.715836, 904, 549
26, 0.996872, 1.082405, 904, 549
53, 1.803324, 1.803324, 903, 550
89, 1.998827, 1.998827, 904, 549
573, 0.776931, 1.607820, 904, 549
575, 0.618084, 0.508113, 904, 549
579, 0.092669, 0.251515, 904, 549
13, 0.373705, 0.019355, 904, 549
19, 0.960215, 0.728055, 903, 549
29, 1.143499, 1.143499, 903, 549
53, 1.791105, 1.815543, 903, 549
88, 1.998827, 1.998827, 903, 549
572, 0.764712, 1.620039, 904, 548
574, 0.605865, 0.495894, 904, 548
578, 0.117107, 0.275953, 904, 548
14, 0.422581, 0.007136, 904, 506
21, 0.764712, 0.728055, 904, 504
24, 0.935777, 0.935777, 903, 503
53, 1.791105, 1.815543, 904, 495
88, 1.986608, 1.998827, 904, 482
399, 0.740274, 1.412317, 904, 368
401, 0.532551, 0.459238, 904, 367
405, 0.092669, 0.202639, 904, 365
14, 0.385924, 0.007136, 904, 308
20, 1.021310, 0.728055, 904, 307
30, 1.204594, 1.180156, 904, 305
54, 1.791105, 1.803324, 904, 302
89, 1.986608, 1.998827, 903, 294
278, 0.764712, 1.485630, 904, 247
280, 0.544770, 0.459238, 904, 246
284, 0.092669, 0.227077, 904, 245
13, 0.300391, 0.007136, 904, 195
16, 0.471456, 0.398143, 904, 196
19, 0.728055, 0.728055, 904, 196
