=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.08.23 13:08:06 =~=~=~=~=~=~=~=~=~=~=~=
730 0.056012, 0.043793, 1805, 1417
43, 1.314565, 3.672825, 1807, 1416
81, 0.569208, 2.218768, 1807, 1416
120, 0.227077, 1.106843, 1805, 1415
158, 0.080450, 0.447019, 1805, 1415
197, 0.043793, 0.104888, 1805, 1415
1, 5.151319, 5.139101, 1805, 1415
9, 5.187976, 5.187976, 1805, 1415
15, 5.151319, 5.151319, 1805, 1415
44, 1.351222, 3.978299, 1805, 1415
78, 0.593646, 2.255425, 1805, 1417
118, 0.227077, 1.143499, 1805, 1415
157, 0.080450, 0.471456, 1805, 1415
195, 0.043793, 0.117107, 1805, 1415
358, 0.007136, 0.019355, 1805, 1415
1, 5.151319, 5.139101, 1805, 1415
41, 1.473411, 5.078006, 1805, 1415
44, 1.400098, 4.283773, 1805, 1415
49, 1.265689, 3.892766, 1805, 1415
87, 0.508113, 2.084360, 1805, 1415
124, 0.202639, 1.033529, 1805, 1415
163, 0.068231, 0.410362, 1805, 1415
201, 0.031574, 0.092669, 1807, 1416
1, 5.151319, 5.139101, 1805, 1415
22, 2.817497, 5.175757, 1805, 1419
31, 1.803324, 5.126882, 1807, 1418
45, 1.363441, 3.672825, 1807, 1416
81, 0.581427, 2.230987, 1805, 1417
119, 0.227077, 1.131281, 1805, 1417
158, 0.092669, 0.459238, 1807, 1416
198, 0.056012, 0.141544, 1805, 1415
278, 0.019355, 0.031574, 1805, 1415
0, 5.139101, 5.139101, 1805, 1415
25, 2.328739, 5.175757, 1805, 1417
29, 2.072141, 5.139101, 1805, 1415
45, 1.326784, 3.672825, 1805, 1415
79, 0.569208, 2.230987, 1805, 1417
116, 0.227077, 1.106843, 1807, 1418
158, 0.092669, 0.447019, 1805, 1415
195, 0.031574, 0.104888, 1807, 1416
0, 5.151319, 5.139101, 1805, 1415
34, 1.742229, 5.102444, 1805, 1415
36, 1.620039, 5.151319, 1805, 1415
44, 1.314565, 3.672825, 1807, 1416
80, 0.569208, 2.218768, 1805, 1417
119, 0.214858, 1.106843, 1807, 1416
155, 0.092669, 0.447019, 1807, 1418
195, 0.043793, 0.104888, 1805, 1417
1, 5.151319, 5.139101, 1805, 1415
18, 5.187976, 5.175757, 1807, 1418
22, 5.151319, 5.139101, 1807, 1416
45, 1.326784, 3.685044, 1805, 1415
83, 0.569208, 2.218768, 1805, 1415
121, 0.227077, 1.119062, 1805, 1415
157, 0.080450, 0.447019, 1805, 1417
197, 0.043793, 0.104888, 1807, 1416
0, 5.151319, 5.139101, 1805, 1415
27, 2.255425, 5.175757, 1805, 1415
28, 1.974389, 5.139101, 1807, 1416
44, 1.351222, 3.660606, 1807, 1416
82, 0.556989, 2.230987, 1805, 1415
119, 0.214858, 1.119062, 1805, 1415
157, 0.080450, 0.471456, 1805, 1415
194, 0.043793, 0.104888, 1805, 1417
370, 0.007136, 0.019355, 1807, 1416
0, 5.151319, 5.139101, 1807, 1416
35, 1.742229, 5.102444, 1805, 1415
36, 1.644477, 5.139101, 1807, 1416
45, 1.339003, 3.648386, 1805, 1415
83, 0.569208, 2.206549, 1805, 1415
120, 0.227077, 1.106843, 1807, 1416
159, 0.080450, 0.459238, 1805, 1415
198, 0.043793, 0.104888, 1805, 1415
1, 5.151319, 5.139101, 1805, 1415
40, 1.485630, 5.090225, 1807, 1416
43, 1.363441, 4.295992, 1807, 1416
49, 1.253470, 3.904985, 1805, 1415
87, 0.544770, 2.096579, 1805, 1415
123, 0.202639, 1.033529, 1807, 1416
162, 0.080450, 0.410362, 1807, 1416
201, 0.031574, 0.092669, 1807, 1416
1, 5.151319, 5.139101, 1805, 1415
38, 1.461192, 5.053568, 1807, 1418
43, 1.363441, 4.210459, 1805, 1415
49, 1.241251, 3.904985, 1805, 1415
86, 0.520332, 2.072141, 1805, 1415
124, 0.202639, 1.033529, 1805, 1415
161, 0.068231, 0.410362, 1805, 1415
200, 0.031574, 0.080450, 1805, 1415
0, 5.151319, 5.139101, 1805, 1415
41, 1.485630, 5.090225, 1805, 1415
42, 1.400098, 4.283773, 1807, 1416
48, 1.277908, 3.892766, 1805, 1415
85, 0.495894, 2.084360, 1807, 1416
124, 0.214858, 1.045748, 1805, 1415
160, 0.080450, 0.410362, 1805, 1417
198, 0.031574, 0.092669, 1807, 1418
0, 5.151319, 5.139101, 1807, 1416
25, 2.670870, 5.175757, 1805, 1417
37, 1.766667, 5.126882, 1803, 1413
46, 1.339003, 3.672825, 1805, 1415
